book,system_kind,source_path,chunk_path,num_paragraphs,num_chunks,num_chunks_with_scores,min_match_score,num_low_confidence_matches,metrics_mapped
hooked_a_novel_of_obsession,ht,results_all_metrics/eval/hooked_a_novel_of_obsession/hooked_a_novel_of_obsession/hooked_a_novel_of_obsession_ht/segment_scores.jsonl,results_chunk_review_eval/books/hooked_a_novel_of_obsession_ja_en/hooked_a_novel_of_obsession_ja_en_ht/segment_scores.jsonl,120,29,29,1.000000,0,cometkiwi|metricx-qe
hooked_a_novel_of_obsession,mt,results_all_metrics/eval/hooked_a_novel_of_obsession/hooked_a_novel_of_obsession/hooked_a_novel_of_obsession_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/hooked_a_novel_of_obsession_ja_en/hooked_a_novel_of_obsession_ja_en_mt/segment_scores.jsonl,120,29,29,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
inner_space,ht,results_all_metrics/eval/inner_space/inner_space/inner_space_ht/segment_scores.jsonl,results_chunk_review_eval/books/inner_space_pl_en/inner_space_pl_en_ht/segment_scores.jsonl,173,26,26,1.000000,0,cometkiwi|metricx-qe
inner_space,mt,results_all_metrics/eval/inner_space/inner_space/inner_space_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/inner_space_pl_en/inner_space_pl_en_mt/segment_scores.jsonl,173,26,26,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
kokun_the_girl_from_the_west,ht,results_all_metrics/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west_ht/segment_scores.jsonl,results_chunk_review_eval/books/kokun_the_girl_from_the_west_ja_en/kokun_the_girl_from_the_west_ja_en_ht/segment_scores.jsonl,468,24,24,1.000000,0,cometkiwi|metricx-qe
kokun_the_girl_from_the_west,mt,results_all_metrics/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/kokun_the_girl_from_the_west_ja_en/kokun_the_girl_from_the_west_ja_en_mt/segment_scores.jsonl,468,24,24,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
make_me_famous,ht,results_all_metrics/eval/make_me_famous/make_me_famous/make_me_famous_ht/segment_scores.jsonl,results_chunk_review_eval/books/make_me_famous_fr_en/make_me_famous_fr_en_ht/segment_scores.jsonl,116,27,27,1.000000,0,cometkiwi|metricx-qe
make_me_famous,mt,results_all_metrics/eval/make_me_famous/make_me_famous/make_me_famous_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/make_me_famous_fr_en/make_me_famous_fr_en_mt/segment_scores.jsonl,116,27,27,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
mona_s_eyes,ht,results_all_metrics/eval/mona_s_eyes/mona_s_eyes/mona_s_eyes_ht/segment_scores.jsonl,results_chunk_review_eval/books/mona_s_eyes_fr_en/mona_s_eyes_fr_en_ht/segment_scores.jsonl,145,29,29,1.000000,0,cometkiwi|metricx-qe
mona_s_eyes,mt,results_all_metrics/eval/mona_s_eyes/mona_s_eyes/mona_s_eyes_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/mona_s_eyes_fr_en/mona_s_eyes_fr_en_mt/segment_scores.jsonl,145,29,29,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
my_grandfather_the_master_detective,ht,results_all_metrics/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective/my_grandfather_the_master_detective_ht/segment_scores.jsonl,results_chunk_review_eval/books/my_grandfather_the_master_detective_ja_en/my_grandfather_the_master_detective_ja_en_ht/segment_scores.jsonl,420,22,22,1.000000,0,cometkiwi|metricx-qe
my_grandfather_the_master_detective,mt,results_all_metrics/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective/my_grandfather_the_master_detective_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/my_grandfather_the_master_detective_ja_en/my_grandfather_the_master_detective_ja_en_mt/segment_scores.jsonl,420,22,22,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
my_name_is_stramer,ht,results_all_metrics/eval/my_name_is_stramer/my_name_is_stramer/my_name_is_stramer_ht/segment_scores.jsonl,results_chunk_review_eval/books/my_name_is_stramer_pl_en/my_name_is_stramer_pl_en_ht/segment_scores.jsonl,234,26,26,1.000000,0,cometkiwi|metricx-qe
my_name_is_stramer,mt,results_all_metrics/eval/my_name_is_stramer/my_name_is_stramer/my_name_is_stramer_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/my_name_is_stramer_pl_en/my_name_is_stramer_pl_en_mt/segment_scores.jsonl,234,26,26,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
needle_s_eye,ht,results_all_metrics/eval/needle_s_eye/needle_s_eye/needle_s_eye_ht/segment_scores.jsonl,results_chunk_review_eval/books/needle_s_eye_pl_en/needle_s_eye_pl_en_ht/segment_scores.jsonl,183,25,24,1.000000,0,cometkiwi|metricx-qe
needle_s_eye,mt,results_all_metrics/eval/needle_s_eye/needle_s_eye/needle_s_eye_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/needle_s_eye_pl_en/needle_s_eye_pl_en_mt/segment_scores.jsonl,183,25,24,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
sisters_in_yellow,ht,results_all_metrics/eval/sisters_in_yellow/sisters_in_yellow/sisters_in_yellow_ht/segment_scores.jsonl,results_chunk_review_eval/books/sisters_in_yellow_ja_en/sisters_in_yellow_ja_en_ht/segment_scores.jsonl,223,26,26,1.000000,0,cometkiwi|metricx-qe
sisters_in_yellow,mt,results_all_metrics/eval/sisters_in_yellow/sisters_in_yellow/sisters_in_yellow_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/sisters_in_yellow_ja_en/sisters_in_yellow_ja_en_mt/segment_scores.jsonl,223,26,26,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
symphony_of_monsters,ht,results_all_metrics/eval/symphony_of_monsters/symphony_of_monsters/symphony_of_monsters_ht/segment_scores.jsonl,results_chunk_review_eval/books/symphony_of_monsters_fr_en/symphony_of_monsters_fr_en_ht/segment_scores.jsonl,159,26,26,1.000000,0,cometkiwi|metricx-qe
symphony_of_monsters,mt,results_all_metrics/eval/symphony_of_monsters/symphony_of_monsters/symphony_of_monsters_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/symphony_of_monsters_fr_en/symphony_of_monsters_fr_en_mt/segment_scores.jsonl,159,26,26,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
the_ark,ht,results_all_metrics/eval/the_ark/the_ark/the_ark_ht/segment_scores.jsonl,results_chunk_review_eval/books/the_ark_ja_en/the_ark_ja_en_ht/segment_scores.jsonl,319,23,23,1.000000,0,cometkiwi|metricx-qe
the_ark,mt,results_all_metrics/eval/the_ark/the_ark/the_ark_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/the_ark_ja_en/the_ark_ja_en_mt/segment_scores.jsonl,319,23,23,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
the_empusium_a_health_resort_horror_story,ht,results_all_metrics/eval/the_empusium_a_health_resort_horror_story/the_empusium_a_health_resort_horror_story/the_empusium_a_health_resort_horror_story_ht/segment_scores.jsonl,results_chunk_review_eval/books/the_empusium_a_health_resort_horror_story_pl_en/the_empusium_a_health_resort_horror_story_pl_en_ht/segment_scores.jsonl,120,28,28,1.000000,0,cometkiwi|metricx-qe
the_empusium_a_health_resort_horror_story,mt,results_all_metrics/eval/the_empusium_a_health_resort_horror_story/the_empusium_a_health_resort_horror_story/the_empusium_a_health_resort_horror_story_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/the_empusium_a_health_resort_horror_story_pl_en/the_empusium_a_health_resort_horror_story_pl_en_mt/segment_scores.jsonl,120,28,28,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
the_story_of_marceau_miller,ht,results_all_metrics/eval/the_story_of_marceau_miller/the_story_of_marceau_miller/the_story_of_marceau_miller_ht/segment_scores.jsonl,results_chunk_review_eval/books/the_story_of_marceau_miller_fr_en/the_story_of_marceau_miller_fr_en_ht/segment_scores.jsonl,133,24,24,1.000000,0,cometkiwi|metricx-qe
the_story_of_marceau_miller,mt,results_all_metrics/eval/the_story_of_marceau_miller/the_story_of_marceau_miller/the_story_of_marceau_miller_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/the_story_of_marceau_miller_fr_en/the_story_of_marceau_miller_fr_en_mt/segment_scores.jsonl,133,24,24,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
the_witcher_crossroads_of_ravens,ht,results_all_metrics/eval/the_witcher_crossroads_of_ravens/the_witcher_crossroads_of_ravens/the_witcher_crossroads_of_ravens_ht/segment_scores.jsonl,results_chunk_review_eval/books/the_witcher_crossroads_of_ravens_pl_en/the_witcher_crossroads_of_ravens_pl_en_ht/segment_scores.jsonl,192,23,23,1.000000,0,cometkiwi|metricx-qe
the_witcher_crossroads_of_ravens,mt,results_all_metrics/eval/the_witcher_crossroads_of_ravens/the_witcher_crossroads_of_ravens/the_witcher_crossroads_of_ravens_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/the_witcher_crossroads_of_ravens_pl_en/the_witcher_crossroads_of_ravens_pl_en_mt/segment_scores.jsonl,192,23,23,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
watching_over_her,ht,results_all_metrics/eval/watching_over_her/watching_over_her/watching_over_her_ht/segment_scores.jsonl,results_chunk_review_eval/books/watching_over_her_fr_en/watching_over_her_fr_en_ht/segment_scores.jsonl,121,28,28,1.000000,0,cometkiwi|metricx-qe
watching_over_her,mt,results_all_metrics/eval/watching_over_her/watching_over_her/watching_over_her_pipeline3/segment_scores.jsonl,results_chunk_review_eval/books/watching_over_her_fr_en/watching_over_her_fr_en_mt/segment_scores.jsonl,121,28,28,1.000000,0,comet22|cometkiwi|metricx|metricx-qe
