pkl,book_slug,source_lang,source_lang_label,chunk_id,metric,ht_score,mt_score,higher_is_better,raw_delta_ht_minus_mt,preference_delta,metric_preference,metric_preference_num,metric_label,human_ht_count,human_mt_count,human_total_count,human_majority_preference,human_majority_num,majority_agrees_with_metric
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,0,litransproqa,0.9430379746835443,1.0,True,-0.05696202531645567,-0.05696202531645567,MT,-1,LitTransProQA,0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,0,metricx-qe,5.480278015136719,4.720470905303955,False,0.7598071098327637,-0.7598071098327637,MT,-1,MetricX-QE,0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,0,paragraph_mean_cometkiwi,0.7064666666666667,0.8042833333333334,True,-0.09781666666666666,-0.09781666666666666,MT,-1,COMETKiwi (paragraph mean),0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,0,paragraph_mean_metricx-qe,5.224317014217377,4.398706714312236,False,0.8256102999051409,-0.8256102999051409,MT,-1,MetricX-QE (paragraph mean),0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,1,litransproqa,0.7031645569620253,1.0,True,-0.2968354430379747,-0.2968354430379747,MT,-1,LitTransProQA,1,1,2,tie,0,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,1,metricx-qe,9.095664978027344,6.146322250366211,False,2.949342727661133,-2.949342727661133,MT,-1,MetricX-QE,1,1,2,tie,0,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,1,paragraph_mean_cometkiwi,0.706275,0.7643,True,-0.05802499999999999,-0.05802499999999999,MT,-1,COMETKiwi (paragraph mean),1,1,2,tie,0,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,1,paragraph_mean_metricx-qe,5.016466379165649,3.9458479285240173,False,1.070618450641632,-1.070618450641632,MT,-1,MetricX-QE (paragraph mean),1,1,2,tie,0,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,2,litransproqa,0.9607594936708861,1.0,True,-0.03924050632911391,-0.03924050632911391,MT,-1,LitTransProQA,0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,2,metricx-qe,9.776803016662598,7.518704414367676,False,2.258098602294922,-2.258098602294922,MT,-1,MetricX-QE,0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,2,paragraph_mean_cometkiwi,0.6436,0.7261,True,-0.08250000000000002,-0.08250000000000002,MT,-1,COMETKiwi (paragraph mean),0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,2,paragraph_mean_metricx-qe,9.776803016662598,7.518704414367676,False,2.258098602294922,-2.258098602294922,MT,-1,MetricX-QE (paragraph mean),0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,3,litransproqa,1.0,1.0,True,0.0,0.0,tie,0,LitTransProQA,0,2,2,MT,-1,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,3,metricx-qe,8.113470077514648,6.464855194091797,False,1.6486148834228516,-1.6486148834228516,MT,-1,MetricX-QE,0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,3,paragraph_mean_cometkiwi,0.74465,0.7798,True,-0.035150000000000015,-0.035150000000000015,MT,-1,COMETKiwi (paragraph mean),0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,3,paragraph_mean_metricx-qe,6.752011299133301,5.011011123657227,False,1.7410001754760742,-1.7410001754760742,MT,-1,MetricX-QE (paragraph mean),0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,4,litransproqa,1.0,1.0,True,0.0,0.0,tie,0,LitTransProQA,1,1,2,tie,0,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,4,metricx-qe,7.458847522735596,9.018119812011719,False,-1.559272289276123,1.559272289276123,HT,1,MetricX-QE,1,1,2,tie,0,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,4,paragraph_mean_cometkiwi,0.7151000000000001,0.7598,True,-0.04469999999999996,-0.04469999999999996,MT,-1,COMETKiwi (paragraph mean),1,1,2,tie,0,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,4,paragraph_mean_metricx-qe,5.575399279594421,6.1086015701293945,False,-0.5332022905349731,0.5332022905349731,HT,1,MetricX-QE (paragraph mean),1,1,2,tie,0,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,5,litransproqa,0.8265822784810125,1.0,True,-0.1734177215189875,-0.1734177215189875,MT,-1,LitTransProQA,0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,5,metricx-qe,7.92855978012085,10.512858390808105,False,-2.584298610687256,2.584298610687256,HT,1,MetricX-QE,0,2,2,MT,-1,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,5,paragraph_mean_cometkiwi,0.68335,0.7312000000000001,True,-0.04785000000000006,-0.04785000000000006,MT,-1,COMETKiwi (paragraph mean),0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,5,paragraph_mean_metricx-qe,6.631907224655151,8.09245491027832,False,-1.460547685623169,1.460547685623169,HT,1,MetricX-QE (paragraph mean),0,2,2,MT,-1,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,6,litransproqa,1.0,1.0,True,0.0,0.0,tie,0,LitTransProQA,0,2,2,MT,-1,False
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,6,metricx-qe,9.900453567504883,9.104730606079102,False,0.7957229614257812,-0.7957229614257812,MT,-1,MetricX-QE,0,2,2,MT,-1,True
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,Japanese,6,paragraph_mean_cometkiwi,0.7055666666666667,0.7306333333333334,True,-0.02506666666666668,-0.02506666666666668,MT,-1,COMETKiwi (paragraph mean),0,2,2,MT,-1,True
